From,To,Weight
A45,A17,0.0289
A13,A51,0.0291
A10,A23,0.0292
A33,A36,0.0292
A39,A36,0.0292
A13,A03,0.0294
A27,A06,0.0294
A14,A22,0.0297
A03,A28,0.03
A11,A47,0.0303
A19,A25,0.0305
A22,A30,0.0305
A18,A20,0.0308
A31,A31,0.0308
A52,A28,0.0308
A03,A45,0.0311
A08,A23,0.0315
A14,A38,0.0315
A26,A05,0.0323
A26,A23,0.0323
A42,A34,0.0324
A06,A51,0.0325
A26,A34,0.0325
A19,A06,0.0332
A17,A23,0.0333
A18,A44,0.0334
A26,A37,0.0334
A03,A39,0.0335
A18,A11,0.0336
A32,A32,0.0337
A27,A50,0.0339
A18,A16,0.034
A27,A47,0.0341
A11,A34,0.0347
A10,A09,0.0348
A10,A22,0.0349
A09,A34,0.035
A46,A10,0.0351
A14,A45,0.0352
A34,A18,0.0353
A49,A12,0.0353
A49,A30,0.0354
A03,A16,0.0355
A14,A16,0.0355
A19,A29,0.0361
A21,A31,0.0362
A06,A04,0.0363
A06,A52,0.0363
A22,A33,0.0363
A52,A21,0.0367
A19,A09,0.0368
A34,A37,0.037
A44,A39,0.0371
A48,A19,0.0371
A49,A17,0.0371
A21,A36,0.0372
A09,A31,0.0373
A17,A20,0.0373
A05,A17,0.0374
A47,A34,0.0374
A12,A12,0.0375
A23,A42,0.0375
A26,A38,0.0375
A48,A26,0.0377
A03,A13,0.038
A17,A25,0.0382
A30,A26,0.0386
A38,A38,0.0386
A39,A07,0.0386
A26,A15,0.0387
A19,A12,0.039
A14,A34,0.0394
A50,A46,0.0394
A08,A22,0.0395
A22,A29,0.0395
A09,A03,0.0396
A05,A08,0.0399
A42,A14,0.0399
A26,A40,0.04
A47,A29,0.04
A07,A08,0.0403
A26,A02,0.0403
A07,A30,0.0404
A09,A24,0.0404
A06,A37,0.0405
A34,A38,0.0405
A14,A36,0.0407
A01,A27,0.0409
A13,A38,0.041
A39,A23,0.041
A01,A08,0.0414
A18,A18,0.0414
A06,A33,0.0415
A06,A38,0.0415
A09,A01,0.0416
A22,A25,0.0424
A08,A44,0.0426
A01,A31,0.0429
A18,A08,0.043
A17,A47,0.0431
A52,A33,0.0432
A23,A23,0.0433
A06,A45,0.0437
A51,A23,0.0439
A32,A17,0.044
A51,A45,0.044
A07,A21,0.0441
A11,A50,0.0442
A06,A12,0.0447
A16,A49,0.0447
A03,A44,0.0448
A16,A44,0.045
A10,A20,0.0451
A29,A22,0.0453
A03,A47,0.0455
A48,A48,0.0455
A14,A21,0.0456
A23,A17,0.046
A10,A12,0.0464
A38,A23,0.0466
A29,A25,0.0467
A48,A34,0.0467
A03,A38,0.0469
A09,A47,0.0477
A18,A07,0.0481
